projectile scavenger hunt shipping  sectorID: 561
rampaging dye training  sectorID: 866
international cryogenic egg deployment  sectorID: 743
rampaging chocolate analysis  sectorID: 662
weaponized jellybean technology  sectorID: 436
cryogenic candy reacquisition  sectorID: 481
biohazardous flower workshop  sectorID: 887
biohazardous basket customer service  sectorID: 253
military grade basket purchasing  sectorID: 322
cryogenic bunny customer service  sectorID: 425
classified plastic grass purchasing  sectorID: 616
weaponized rabbit analysis  sectorID: 306
projectile cryogenic candy operations  sectorID: 341
projectile candy coating technology  sectorID: 111
corrosive egg services  sectorID: 805
corrosive chocolate engineering  sectorID: 534
military grade bunny management  sectorID: 685
colorful rabbit operations  sectorID: 149
international basket engineering  sectorID: 853
cryogenic biohazardous dye marketing  sectorID: 614
unstable flower storage  sectorID: 375
biohazardous dye financing  sectorID: 980
weaponized chocolate services  sectorID: 493
consumer grade chocolate deployment  sectorID: 798
corrosive chocolate management  sectorID: 648
fuzzy dye deployment  sectorID: 678
consumer grade bunny management  sectorID: 175
colorful flower marketing  sectorID: 401
unstable egg engineering  sectorID: 930
projectile jellybean services  sectorID: 151
cryogenic plastic grass management  sectorID: 567
top secret colorful candy analysis  sectorID: 724
cryogenic bunny research  sectorID: 122
radioactive candy coating customer service  sectorID: 623
military grade chocolate acquisition  sectorID: 609
top secret scavenger hunt training  sectorID: 981
biohazardous egg training  sectorID: 404
corrosive chocolate receiving  sectorID: 716
colorful scavenger hunt receiving  sectorID: 432
radioactive chocolate marketing  sectorID: 471
weaponized jellybean research  sectorID: 875
cryogenic bunny receiving  sectorID: 922
consumer grade plastic grass training  sectorID: 916
radioactive dye engineering  sectorID: 757
weaponized classified scavenger hunt research  sectorID: 818
weaponized chocolate laboratory  sectorID: 161
classified basket storage  sectorID: 639
fuzzy basket reacquisition  sectorID: 530
projectile candy coating reacquisition  sectorID: 688
projectile rabbit user testing  sectorID: 462
fuzzy plastic grass user testing  sectorID: 396
projectile egg training  sectorID: 355
rampaging flower department  sectorID: 822
consumer grade candy coating engineering  sectorID: 595
radioactive candy containment  sectorID: 764
top secret candy training  sectorID: 430
classified chocolate training  sectorID: 204
colorful bunny operations  sectorID: 694
magnetic candy financing  sectorID: 396
radioactive bunny financing  sectorID: 912
magnetic basket laboratory  sectorID: 782
military grade plastic grass containment  sectorID: 432
weaponized chocolate logistics  sectorID: 271
biohazardous plastic grass shipping  sectorID: 465
corrosive candy coating training  sectorID: 281
top secret dye design  sectorID: 682
cryogenic bunny deployment  sectorID: 939
magnetic scavenger hunt operations  sectorID: 398
cryogenic plastic grass deployment  sectorID: 147
international chocolate containment  sectorID: 381
colorful classified jellybean workshop  sectorID: 143
corrosive bunny shipping  sectorID: 407
radioactive basket training  sectorID: 106
military grade basket reacquisition  sectorID: 939
international chocolate management  sectorID: 383
cryogenic plastic grass logistics  sectorID: 438
top secret bunny management  sectorID: 242
fuzzy basket department  sectorID: 412
international chocolate customer service  sectorID: 222
biohazardous chocolate deployment  sectorID: 348
top secret bunny financing  sectorID: 477
cryogenic bunny technology  sectorID: 174
fuzzy bunny logistics  sectorID: 251
colorful scavenger hunt technology  sectorID: 229
unstable basket sales  sectorID: 914
top secret basket engineering  sectorID: 439
corrosive international candy coating development  sectorID: 609
corrosive dye containment  sectorID: 544
unstable candy coating services  sectorID: 946
unstable plastic grass reacquisition  sectorID: 951
biohazardous bunny user testing  sectorID: 761
magnetic egg development  sectorID: 726
top secret chocolate workshop  sectorID: 430
top secret chocolate development  sectorID: 456
biohazardous dye research  sectorID: 784
radioactive egg sales  sectorID: 285
fuzzy consumer grade plastic grass services  sectorID: 648
rampaging plastic grass management  sectorID: 452
radioactive basket sales  sectorID: 742
weaponized dye workshop  sectorID: 976
cryogenic candy coating services  sectorID: 927
fuzzy flower purchasing  sectorID: 306
radioactive corrosive flower deployment  sectorID: 220
biohazardous jellybean design  sectorID: 731
rampaging unstable basket workshop  sectorID: 506
projectile flower services  sectorID: 232
unstable bunny workshop  sectorID: 880
international candy coating user testing  sectorID: 795
unstable basket operations  sectorID: 627
consumer grade magnetic dye logistics  sectorID: 967
rampaging candy purchasing  sectorID: 813
radioactive classified plastic grass financing  sectorID: 634
top secret plastic grass containment  sectorID: 506
biohazardous egg analysis  sectorID: 140
classified rabbit deployment  sectorID: 625
weaponized plastic grass customer service  sectorID: 966
colorful military grade egg deployment  sectorID: 577
